ts,cold_start,server_ms
2025-10-02T17:36:38.965744,False,11.148
2025-10-02T17:36:39.039423,False,11.952
2025-10-02T17:36:39.128025,False,13.352
2025-10-02T17:36:39.199436,False,12.393
2025-10-02T17:36:39.282679,False,7.199
2025-10-02T17:36:39.353779,False,10.159
2025-10-02T17:36:39.424236,False,10.865
2025-10-02T17:36:39.497750,False,13.503
2025-10-02T17:36:39.584824,False,9.034
2025-10-02T17:36:39.672818,False,11.973
2025-10-02T17:36:39.757651,False,7.319
2025-10-02T17:36:39.847717,False,13.593
2025-10-02T17:36:39.917966,False,10.323
2025-10-02T17:36:39.984472,False,9.038
2025-10-02T17:36:40.073903,False,14.314
2025-10-02T17:36:40.159201,False,11.89
2025-10-02T17:36:40.246612,False,12.015
2025-10-02T17:36:40.329727,False,10.786
2025-10-02T17:36:40.404193,False,13.451
2025-10-02T17:36:40.487120,False,7.06
2025-10-02T17:36:40.585067,False,18.093
2025-10-02T17:36:40.667038,False,7.007
2025-10-02T17:36:40.740766,False,10.806
2025-10-02T17:36:40.825877,False,8.568
2025-10-02T17:36:40.921749,False,15.926
2025-10-02T17:36:41.008725,False,7.959
2025-10-02T17:36:41.097841,False,13.699
2025-10-02T17:36:41.176411,False,17.282
2025-10-02T17:36:41.259461,False,6.847
2025-10-02T17:36:41.329607,False,8.425
2025-10-02T17:36:41.399807,False,8.13
2025-10-02T17:36:41.483620,False,7.48
2025-10-02T17:36:41.571765,False,8.966
2025-10-02T17:36:41.653242,False,7.575
2025-10-02T17:36:41.734917,False,7.071
2025-10-02T17:36:41.802411,False,7.734
2025-10-02T17:36:41.882283,False,6.923
2025-10-02T17:36:41.967557,False,7.234
2025-10-02T17:36:42.037320,False,7.318
2025-10-02T17:36:42.107366,False,7.808
2025-10-02T17:36:42.176164,False,7.269
2025-10-02T17:36:42.259416,False,7.818
2025-10-02T17:36:42.326606,False,7.036
2025-10-02T17:36:42.407977,False,7.31
2025-10-02T17:36:42.480026,False,7.933
2025-10-02T17:36:42.562885,False,7.723
2025-10-02T17:36:42.645890,False,7.953
2025-10-02T17:36:42.712370,False,7.231
2025-10-02T17:36:42.794151,False,8.292
2025-10-02T17:36:42.863944,False,7.93
2025-10-02T17:36:42.948978,False,7.178
2025-10-02T17:36:43.030996,False,7.498
2025-10-02T17:36:43.111751,False,7.171
2025-10-02T17:36:43.194413,False,7.731
2025-10-02T17:36:43.277352,False,6.791
2025-10-02T17:36:43.359103,False,7.288
2025-10-02T17:36:43.440531,False,6.922
2025-10-02T17:36:43.520644,False,7.521
2025-10-02T17:36:43.601710,False,7.412
2025-10-02T17:36:43.676624,False,8.328
2025-10-02T17:36:43.759092,False,7.593
2025-10-02T17:36:43.842850,False,7.272
2025-10-02T17:36:43.926466,False,7.861
2025-10-02T17:36:43.995546,False,7.638
2025-10-02T17:36:44.078283,False,7.363
2025-10-02T17:36:44.158902,False,8.062
2025-10-02T17:36:44.225873,False,7.258
