csv_path,stage_label,stage_num,mode,workload,run_folder,run_id,run_started_at,file_started_at,run_date,total_samples,successful_samples,error_rate,ts_first,ts_last,client_count,client_mean,client_p50,client_p95,client_p99,client_min,client_max,server_count,server_mean,server_p50,server_p95,server_p99,server_min,server_max
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-06_17-40-13_run-3618/latencies_cr_batch_2025-11-06_17-40-13.csv,S1,1,concurrent,cr_batch,2025-11-06_17-40-13_run-3618,3618,2025-11-06T17:40:13,2025-11-06T17:40:13,2025-11-06,500,500,0.0,2025-11-06T17:40:16+00:00,2025-11-06T17:46:05+00:00,500.0,212.19178599999998,209.88850000000002,255.4009,274.69267999999994,138.989,289.669,500.0,12.715326000000001,12.4445,13.79305,21.29724,11.347,22.301
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-06_17-40-13_run-3618/latencies_cr_nobatch_2025-11-06_17-40-13.csv,S1,1,concurrent,cr_nobatch,2025-11-06_17-40-13_run-3618,3618,2025-11-06T17:40:13,2025-11-06T17:40:13,2025-11-06,500,500,0.0,2025-11-06T17:40:16+00:00,2025-11-06T17:46:05+00:00,500.0,204.58395000000002,204.752,253.9838499999999,270.30354,126.852,286.78,500.0,7.423246,7.1605,8.404649999999998,15.73305,6.306,16.597
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-06_17-46-06_run-7433/latencies_ce_batch_2025-11-06_17-46-06.csv,S1,1,independent,ce_batch,2025-11-06_17-46-06_run-7433,7433,2025-11-06T17:46:06,2025-11-06T17:46:06,2025-11-06,500,500,0.0,2025-11-06T17:46:08+00:00,2025-11-06T17:49:25+00:00,500.0,18.217646,17.466,22.594299999999997,28.182299999999994,14.726,67.467,500.0,11.884704,11.589500000000001,13.662949999999997,16.42619999999999,9.944,30.238
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-06_17-46-06_run-7433/latencies_ce_nobatch_2025-11-06_17-46-06.csv,S1,1,independent,ce_nobatch,2025-11-06_17-46-06_run-7433,7433,2025-11-06T17:46:06,2025-11-06T17:46:06,2025-11-06,500,500,0.0,2025-11-06T17:46:08+00:00,2025-11-06T17:49:22+00:00,500.0,12.884701999999999,12.192,18.077749999999998,24.955759999999998,8.68,27.836,500.0,6.566714,6.3195,7.988749999999987,11.994219999999993,3.939,22.416
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-06_17-46-06_run-7433/latencies_cr_batch_2025-11-06_17-46-06.csv,S1,1,independent,cr_batch,2025-11-06_17-46-06_run-7433,7433,2025-11-06T17:46:06,2025-11-06T17:46:06,2025-11-06,500,500,0.0,2025-11-06T17:46:08+00:00,2025-11-06T17:50:15+00:00,500.0,181.6517,196.68599999999998,253.60054999999994,279.48033999999996,73.958,306.084,500.0,12.74084,12.477,14.15104999999999,19.58111,10.762,22.703
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_independent/2025-11-06_17-46-06_run-7433/latencies_cr_nobatch_2025-11-06_17-46-06.csv,S1,1,independent,cr_nobatch,2025-11-06_17-46-06_run-7433,7433,2025-11-06T17:46:06,2025-11-06T17:46:06,2025-11-06,500,500,0.0,2025-11-06T17:46:08+00:00,2025-11-06T17:50:13+00:00,500.0,177.051792,194.7555,241.83104999999998,271.85374999999993,87.077,337.704,500.0,7.450996,7.157,8.447399999999998,15.318829999999997,6.26,19.638
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-07_09-54-18_run-5045/latencies_ce_batch_2025-11-07_09-54-18.csv,S1,1,concurrent,ce_batch,2025-11-07_09-54-18_run-5045,5045,2025-11-07T09:54:18,2025-11-07T09:54:18,2025-11-07,500,500,0.0,2025-11-07T09:54:21+00:00,2025-11-07T10:00:11+00:00,500.0,18.948784,18.195999999999998,24.40905,28.15484,14.887,29.982,500.0,12.437766,12.066,15.00134999999999,18.495499999999996,9.438,24.368
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-07_09-54-18_run-5045/latencies_ce_nobatch_2025-11-07_09-54-18.csv,S1,1,concurrent,ce_nobatch,2025-11-07_09-54-18_run-5045,5045,2025-11-07T09:54:18,2025-11-07T09:54:18,2025-11-07,500,500,0.0,2025-11-07T09:54:21+00:00,2025-11-07T10:00:11+00:00,500.0,13.490011999999998,12.68,18.959499999999995,22.842959999999994,9.7,29.682,500.0,6.868755999999999,6.652,8.274899999999997,12.165409999999984,4.706,16.37
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-07_09-54-18_run-5045/latencies_cr_batch_2025-11-07_09-54-18.csv,S1,1,concurrent,cr_batch,2025-11-07_09-54-18_run-5045,5045,2025-11-07T09:54:18,2025-11-07T09:54:18,2025-11-07,500,500,0.0,2025-11-07T09:54:21+00:00,2025-11-07T10:00:11+00:00,500.0,212.56914400000002,211.4755,258.59225,267.21608,122.362,326.173,500.0,12.456779999999998,12.280999999999999,13.2625,20.81641,11.132,23.817
/Users/susannahufnagl/Desktop/UNI_Bachelor/TU Berlin/lebach/ba/Testresults/S1_concurrent/2025-11-07_09-54-18_run-5045/latencies_cr_nobatch_2025-11-07_09-54-18.csv,S1,1,concurrent,cr_nobatch,2025-11-07_09-54-18_run-5045,5045,2025-11-07T09:54:18,2025-11-07T09:54:18,2025-11-07,500,500,0.0,2025-11-07T09:54:21+00:00,2025-11-07T10:00:11+00:00,500.0,207.263936,206.3455,250.01334999999997,270.01495,130.863,299.719,500.0,7.194016,6.922499999999999,8.131549999999999,16.008809999999997,5.775,29.609
