run_date,stage_num,stage_label,mode,workload,client_mean_mean,client_mean_std,client_p50_mean,client_p50_std,client_p95_mean,client_p95_std,client_p99_mean,client_p99_std,server_mean_mean,server_mean_std,server_p50_mean,server_p50_std,server_p95_mean,server_p95_std,server_p99_mean,server_p99_std,successful_samples_mean,error_rate_mean,client_mean_mean_delta_prev,client_mean_mean_delta_from_s0,client_mean_std_delta_prev,client_mean_std_delta_from_s0,client_p50_mean_delta_prev,client_p50_mean_delta_from_s0,client_p50_std_delta_prev,client_p50_std_delta_from_s0,client_p95_mean_delta_prev,client_p95_mean_delta_from_s0,client_p95_std_delta_prev,client_p95_std_delta_from_s0,client_p99_mean_delta_prev,client_p99_mean_delta_from_s0,client_p99_std_delta_prev,client_p99_std_delta_from_s0,server_mean_mean_delta_prev,server_mean_mean_delta_from_s0,server_mean_std_delta_prev,server_mean_std_delta_from_s0,server_p50_mean_delta_prev,server_p50_mean_delta_from_s0,server_p50_std_delta_prev,server_p50_std_delta_from_s0,server_p95_mean_delta_prev,server_p95_mean_delta_from_s0,server_p95_std_delta_prev,server_p95_std_delta_from_s0,server_p99_mean_delta_prev,server_p99_mean_delta_from_s0,server_p99_std_delta_prev,server_p99_std_delta_from_s0
2025-11-06,0,S0,concurrent,ce_batch,14.100468,,13.563,,17.913149999999998,,21.836219999999994,,12.211052,,12.039,,13.984549999999999,,15.75938,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-06,1,S1,concurrent,ce_batch,18.629008,,17.816499999999998,,24.17635,,28.52283,,12.123400000000002,,11.84,,14.349649999999997,,18.28307,,500.0,0.0,4.52854,4.52854,,,4.253499999999997,4.253499999999997,,,6.263200000000001,6.263200000000001,,,6.686610000000005,6.686610000000005,,,-0.08765199999999851,-0.08765199999999851,,,-0.19899999999999984,-0.19899999999999984,,,0.3650999999999982,0.3650999999999982,,,2.5236899999999984,2.5236899999999984,,
2025-11-06,0,S0,concurrent,ce_nobatch,9.240072,,8.586500000000001,,13.479299999999995,,15.699319999999997,,6.753997999999999,,6.593999999999999,,8.305949999999996,,10.099139999999991,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-06,1,S1,concurrent,ce_nobatch,13.23326,,12.507,,18.37765,,22.776589999999995,,6.5168859999999995,,6.274,,8.041649999999997,,11.079179999999997,,500.0,0.0,3.993188,3.993188,,,3.9204999999999988,3.9204999999999988,,,4.898350000000004,4.898350000000004,,,7.077269999999999,7.077269999999999,,,-0.23711199999999977,-0.23711199999999977,,,-0.3199999999999994,-0.3199999999999994,,,-0.26429999999999865,-0.26429999999999865,,,0.980040000000006,0.980040000000006,,
2025-11-06,0,S0,concurrent,cr_batch,219.00079399999998,,218.1505,,262.86949999999996,,282.58693999999997,,12.820142,,12.517,,13.864399999999996,,21.50971,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-06,1,S1,concurrent,cr_batch,212.19178599999998,,209.88850000000002,,255.4009,,274.69267999999994,,12.715326000000001,,12.4445,,13.79305,,21.29724,,500.0,0.0,-6.809008000000006,-6.809008000000006,,,-8.261999999999972,-8.261999999999972,,,-7.468599999999952,-7.468599999999952,,,-7.894260000000031,-7.894260000000031,,,-0.10481599999999958,-0.10481599999999958,,,-0.07249999999999979,-0.07249999999999979,,,-0.07134999999999714,-0.07134999999999714,,,-0.21246999999999971,-0.21246999999999971,,
2025-11-06,0,S0,concurrent,cr_nobatch,214.775506,,213.5985,,266.71425,,294.89089,,7.4164639999999995,,7.1235,,8.465349999999999,,16.40011999999999,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-06,1,S1,concurrent,cr_nobatch,204.58395000000002,,204.752,,253.9838499999999,,270.30354,,7.423246,,7.1605,,8.404649999999998,,15.73305,,500.0,0.0,-10.191555999999991,-10.191555999999991,,,-8.846499999999992,-8.846499999999992,,,-12.730400000000088,-12.730400000000088,,,-24.587350000000015,-24.587350000000015,,,0.006782000000000288,0.006782000000000288,,,0.03699999999999992,0.03699999999999992,,,-0.06070000000000064,-0.06070000000000064,,,-0.6670699999999901,-0.6670699999999901,,
2025-11-06,0,S0,independent,ce_batch,13.830312000000001,,13.3335,,17.806099999999997,,20.482489999999995,,12.003884,,11.7665,,13.616949999999997,,17.145,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
2025-11-06,1,S1,independent,ce_batch,18.217646,,17.466,,22.594299999999997,,28.182299999999994,,11.884704,,11.589500000000001,,13.662949999999997,,16.42619999999999,,500.0,0.0,4.387333999999997,4.387333999999997,,,4.1325,4.1325,,,4.7882,4.7882,,,7.699809999999999,7.699809999999999,,,-0.11918000000000006,-0.11918000000000006,,,-0.1769999999999996,-0.1769999999999996,,,0.045999999999999375,0.045999999999999375,,,-0.7188000000000088,-0.7188000000000088,,
2025-11-06,0,S0,independent,ce_nobatch,8.501896,,7.933999999999999,,12.400049999999998,,15.45014,,6.652556,,6.4585,,7.737649999999999,,11.168479999999999,,500.0,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,
