run_date,stage_num,stage_label,mode,workload,client_mean_mean,client_mean_std,client_p50_mean,client_p50_std,client_p95_mean,client_p95_std,client_p99_mean,client_p99_std,server_mean_mean,server_mean_std,server_p50_mean,server_p50_std,server_p95_mean,server_p95_std,server_p99_mean,server_p99_std,successful_samples_mean,error_rate_mean
2025-11-06,0,S0,concurrent,ce_batch,14.100468,,13.563,,17.913149999999998,,21.836219999999994,,12.211052,,12.039,,13.984549999999999,,15.75938,,500.0,0.0
2025-11-06,0,S0,concurrent,ce_nobatch,9.240072,,8.586500000000001,,13.479299999999995,,15.699319999999997,,6.753997999999999,,6.593999999999999,,8.305949999999996,,10.099139999999991,,500.0,0.0
2025-11-06,0,S0,concurrent,cr_batch,219.00079399999998,,218.1505,,262.86949999999996,,282.58693999999997,,12.820142,,12.517,,13.864399999999996,,21.50971,,500.0,0.0
2025-11-06,0,S0,concurrent,cr_nobatch,214.775506,,213.5985,,266.71425,,294.89089,,7.4164639999999995,,7.1235,,8.465349999999999,,16.40011999999999,,500.0,0.0
2025-11-06,0,S0,independent,ce_batch,13.830312000000001,,13.3335,,17.806099999999997,,20.482489999999995,,12.003884,,11.7665,,13.616949999999997,,17.145,,500.0,0.0
2025-11-06,0,S0,independent,ce_nobatch,8.501896,,7.933999999999999,,12.400049999999998,,15.45014,,6.652556,,6.4585,,7.737649999999999,,11.168479999999999,,500.0,0.0
2025-11-06,0,S0,independent,cr_batch,182.514594,,201.904,,251.53899999999996,,264.21410000000003,,12.605922,,12.473500000000001,,13.554699999999997,,15.112329999999993,,500.0,0.0
2025-11-06,0,S0,independent,cr_nobatch,179.70138400000002,,201.754,,247.66324999999998,,268.09943999999996,,7.3431999999999995,,7.1695,,8.235399999999998,,12.119469999999998,,500.0,0.0
2025-11-06,1,S1,concurrent,ce_batch,18.629008,,17.816499999999998,,24.17635,,28.52283,,12.123400000000002,,11.84,,14.349649999999997,,18.28307,,500.0,0.0
2025-11-06,1,S1,concurrent,ce_nobatch,13.23326,,12.507,,18.37765,,22.776589999999995,,6.5168859999999995,,6.274,,8.041649999999997,,11.079179999999997,,500.0,0.0
2025-11-06,1,S1,concurrent,cr_batch,212.19178599999998,,209.88850000000002,,255.4009,,274.69267999999994,,12.715326000000001,,12.4445,,13.79305,,21.29724,,500.0,0.0
2025-11-06,1,S1,concurrent,cr_nobatch,204.58395000000002,,204.752,,253.9838499999999,,270.30354,,7.423246,,7.1605,,8.404649999999998,,15.73305,,500.0,0.0
2025-11-06,1,S1,independent,ce_batch,18.217646,,17.466,,22.594299999999997,,28.182299999999994,,11.884704,,11.589500000000001,,13.662949999999997,,16.42619999999999,,500.0,0.0
2025-11-06,1,S1,independent,ce_nobatch,12.884701999999999,,12.192,,18.077749999999998,,24.955759999999998,,6.566714,,6.3195,,7.988749999999987,,11.994219999999993,,500.0,0.0
2025-11-06,1,S1,independent,cr_batch,181.6517,,196.68599999999998,,253.60054999999994,,279.48033999999996,,12.74084,,12.477,,14.15104999999999,,19.58111,,500.0,0.0
2025-11-06,1,S1,independent,cr_nobatch,177.051792,,194.7555,,241.83104999999998,,271.85374999999993,,7.450996,,7.157,,8.447399999999998,,15.318829999999997,,500.0,0.0
2025-11-07,1,S1,concurrent,ce_batch,18.948784,,18.195999999999998,,24.40905,,28.15484,,12.437766,,12.066,,15.00134999999999,,18.495499999999996,,500.0,0.0
2025-11-07,1,S1,concurrent,ce_nobatch,13.490011999999998,,12.68,,18.959499999999995,,22.842959999999994,,6.868755999999999,,6.652,,8.274899999999997,,12.165409999999984,,500.0,0.0
2025-11-07,1,S1,concurrent,cr_batch,212.56914400000002,,211.4755,,258.59225,,267.21608,,12.456779999999998,,12.280999999999999,,13.2625,,20.81641,,500.0,0.0
2025-11-07,1,S1,concurrent,cr_nobatch,207.263936,,206.3455,,250.01334999999997,,270.01495,,7.194016,,6.922499999999999,,8.131549999999999,,16.008809999999997,,500.0,0.0
2025-11-07,1,S1,independent,ce_batch,18.765309999999996,,18.192,,22.456799999999987,,29.006479999999993,,12.43858,,12.153500000000001,,13.864249999999993,,18.007329999999993,,500.0,0.0
2025-11-07,1,S1,independent,ce_nobatch,13.336727999999999,,12.628,,18.048099999999998,,23.795919999999995,,7.014558000000001,,6.7940000000000005,,8.239449999999998,,11.15863999999999,,500.0,0.0
2025-11-07,1,S1,independent,cr_batch,182.154356,,197.4915,,251.18199999999996,,278.83358,,12.443653999999999,,12.2965,,13.490699999999999,,16.460569999999993,,500.0,0.0
2025-11-07,1,S1,independent,cr_nobatch,177.55243200000004,,196.3125,,247.11275,,263.3237499999999,,7.146540000000001,,7.05,,8.166099999999998,,9.98782999999999,,500.0,0.0
2025-11-07,2,S2,concurrent,ce_batch,18.791379999999997,,18.029,,23.856349999999996,,29.045659999999998,,12.280617999999999,,12.1095,,13.37495,,16.081569999999985,,500.0,0.0
2025-11-07,2,S2,concurrent,ce_nobatch,13.414130000000002,,12.702,,17.692899999999995,,23.519149999999996,,6.819896000000001,,6.667,,7.810749999999999,,10.397349999999994,,500.0,0.0
2025-11-07,2,S2,concurrent,cr_batch,215.777844,,214.457,,258.4971,,276.30415,,12.53242,,12.304,,13.645199999999999,,20.674839999999996,,500.0,0.0
2025-11-07,2,S2,concurrent,cr_nobatch,206.948908,,204.5115,,258.0671,,276.74861,,7.15092,,6.987500000000001,,8.1747,,9.497429999999977,,500.0,0.0
2025-11-07,2,S2,independent,ce_batch,18.35679,,17.834,,22.309549999999994,,26.185959999999984,,12.091668,,11.9785,,12.9399,,16.02067,,500.0,0.0
