timestamp_iso,iteration,http_status,latency_ms
2025-08-25T15:38:37Z,1,200,18.58
2025-08-25T15:38:38Z,2,200,17.82
2025-08-25T15:38:38Z,3,200,18.71
2025-08-25T15:38:39Z,4,200,18.81
2025-08-25T15:38:39Z,5,200,19
2025-08-25T15:38:39Z,6,200,18.44
2025-08-25T15:38:40Z,7,200,18.74
2025-08-25T15:38:40Z,8,200,18.43
2025-08-25T15:38:41Z,9,200,19.32
2025-08-25T15:38:41Z,10,200,17.98
2025-08-25T15:38:42Z,11,200,18.31
2025-08-25T15:38:42Z,12,200,44.89
2025-08-25T15:38:43Z,13,200,17.93
2025-08-25T15:38:43Z,14,200,18.38
2025-08-25T15:38:43Z,15,200,18.73
2025-08-25T15:38:44Z,16,200,18.95
2025-08-25T15:38:44Z,17,200,19
2025-08-25T15:38:45Z,18,200,17.84
2025-08-25T15:38:45Z,19,200,18.48
2025-08-25T15:38:46Z,20,200,17.95
2025-08-25T15:38:46Z,21,200,19.61
2025-08-25T15:38:46Z,22,200,18.24
2025-08-25T15:38:47Z,23,200,18.18
2025-08-25T15:38:47Z,24,200,18.35
2025-08-25T15:38:48Z,25,200,19.1
2025-08-25T15:38:48Z,26,200,18.47
2025-08-25T15:38:49Z,27,200,18.34
2025-08-25T15:38:49Z,28,200,18.32
2025-08-25T15:38:49Z,29,200,17.52
2025-08-25T15:38:50Z,30,200,17.78
2025-08-25T15:38:50Z,31,200,17.55
2025-08-25T15:38:51Z,32,200,27.35
2025-08-25T15:38:51Z,33,200,18.69
2025-08-25T15:38:52Z,34,200,18.52
2025-08-25T15:38:52Z,35,200,18.49
2025-08-25T15:38:53Z,36,200,25.84
2025-08-25T15:38:53Z,37,200,18.3
2025-08-25T15:38:53Z,38,200,19.31
2025-08-25T15:38:54Z,39,200,17.66
2025-08-25T15:38:54Z,40,200,25.7
2025-08-25T15:38:55Z,41,200,18.35
2025-08-25T15:38:55Z,42,200,20.41
2025-08-25T15:38:56Z,43,200,17.23
2025-08-25T15:38:56Z,44,200,18.63
2025-08-25T15:38:56Z,45,200,19.12
2025-08-25T15:38:57Z,46,200,18.86
2025-08-25T15:38:57Z,47,200,18.84
2025-08-25T15:38:58Z,48,200,17.64
2025-08-25T15:38:58Z,49,200,24.15
2025-08-25T15:38:59Z,50,200,18.78
2025-08-25T15:38:59Z,51,200,18.1
2025-08-25T15:39:00Z,52,200,18.65
2025-08-25T15:39:00Z,53,200,17
2025-08-25T15:39:00Z,54,200,18.46
2025-08-25T15:39:01Z,55,200,18.18
2025-08-25T15:39:01Z,56,200,19.68
2025-08-25T15:39:02Z,57,200,18.87
2025-08-25T15:39:02Z,58,200,18.37
2025-08-25T15:39:03Z,59,200,17.27
2025-08-25T15:39:03Z,60,200,18.89
2025-08-25T15:39:03Z,61,200,18.46
2025-08-25T15:39:04Z,62,200,18.7
2025-08-25T15:39:04Z,63,200,18.29
2025-08-25T15:39:05Z,64,200,19.06
2025-08-25T15:39:05Z,65,200,18.46
2025-08-25T15:39:06Z,66,200,18.47
2025-08-25T15:39:06Z,67,200,18.16
2025-08-25T15:39:07Z,68,200,18.9
2025-08-25T15:39:07Z,69,200,18.91
2025-08-25T15:39:07Z,70,200,18.27
2025-08-25T15:39:08Z,71,200,18.17
2025-08-25T15:39:08Z,72,200,18.46
2025-08-25T15:39:09Z,73,200,17.96
2025-08-25T15:39:09Z,74,200,19.16
2025-08-25T15:39:10Z,75,200,18.86
2025-08-25T15:39:10Z,76,200,17.36
2025-08-25T15:39:10Z,77,200,18.84
2025-08-25T15:39:11Z,78,200,17.85
2025-08-25T15:39:11Z,79,200,18.2
2025-08-25T15:39:12Z,80,200,18.28
2025-08-25T15:39:12Z,81,200,17.52
2025-08-25T15:39:13Z,82,200,18.61
2025-08-25T15:39:13Z,83,200,19.18
2025-08-25T15:39:13Z,84,200,17.84
2025-08-25T15:39:14Z,85,200,18.17
2025-08-25T15:39:14Z,86,200,18.44
2025-08-25T15:39:15Z,87,200,17.64
2025-08-25T15:39:15Z,88,200,17.1
2025-08-25T15:39:16Z,89,200,18.25
2025-08-25T15:39:16Z,90,200,18.33
2025-08-25T15:39:16Z,91,200,18.89
2025-08-25T15:39:17Z,92,200,17.55
2025-08-25T15:39:17Z,93,200,17.24
2025-08-25T15:39:18Z,94,200,19.77
2025-08-25T15:39:18Z,95,200,18.96
2025-08-25T15:39:19Z,96,200,17.8
2025-08-25T15:39:19Z,97,200,18.16
2025-08-25T15:39:19Z,98,200,18.33
2025-08-25T15:39:20Z,99,200,17.9
2025-08-25T15:39:20Z,100,200,18.25
